6488	90808	2020	78	0	1
8748	228211	2390	102	0	1
11588	284595	2690	115	0	1
12268	78521	2500	103	0	1
14898	14257	2599	130	0	1
21050	22433	3164	156	1	1
21498	12863	3417	190	1	1
22860	6419	3463	200	1	1
36000	41101	3759	250	1	1
7399	49479	2304	90	0	2
11650	76615	2788	138	0	2
12249	3839	2388	90	0	2
13249	56463	2651	140	0	2
17899	100067	3086	160	1	2
23500	6603	3333	162	1	2
27900	22095	3219	222	1	2
38000	13908	3950	278	1	2
6635	187240	2127	70	0	3
11950	83599	2549	130	0	3
12150	417179	2738	125	0	3
13495	37814	2566	105	0	3
24760	53666	3139	160	1	3
6599	22977	2238	82	0	4
12279	28651	2560	110	0	4
12459	64242	2610	110	0	4
13800	35944	2182	116	0	4
23300	16535	3477	158	1	4
5866	14363	1820	73	0	5
11499	44906	2620	130	0	5
13071	1276	2455	97	0	5
18820	32410	2919	114	1	6
21095	46070	2954	114	1	6
33965	8627	3303	144	1	6
7225	22640	2172	81	0	7
8695	17122	2220	100	0	7
10005	58314	2275	100	0	7
14770	18274	3985	134	1	7
15485	7615	2307	94	0	7
18900	4402	2612	108	1	7
23990	3380	2789	130	1	7
26900	8670	3042	130	1	7
33405	1859	3263	162	1	7
24650	28819	2810	168	1	8
41500	22524	3530	208	1	8
49000	10460	3835	208	1	8
31600	14145	2955	158	1	9
39710	24400	3390	121	1	9
62500	6715	3915	201	1	9
73800	4772	4100	238	1	9
5909	4665	2336	76	0	10
6929	49679	2205	81	0	10
10819	49877	2524	92	0	10
10989	40991	2667	102	0	10
16995	4640	2732	128	1	11
25995	3651	3022	150	1	11
41900	2348	2998	208	1	12
58500	3650	3031	247	1	12
12005	3327	2411	130	0	13
6851	39602	2194	81	0	16
8785	33384	2610	93	0	16
8845	65590	2615	93	0	16
8895	1037	2271	81	0	16
9745	34253	2798	100	0	16
10400	111405	2798	100	0	16
10495	91152	2798	100	0	16
10855	40177	2524	92	0	16
12495	57881	2863	100	0	16
12995	108436	3006	100	0	16
13005	28227	2711	135	0	16
14995	12818	3083	150	0	16
15350	18172	3023	150	0	16
16342	39252	3143	141	0	16
20860	38495	3452	147	1	16
25495	13518	3570	150	1	16
6319	52520	1785	63	0	18
7409	288727	2242	90	0	18
8969	34494	2240	82	0	18
9456	124135	2759	88	0	18
9483	215290	2529	98	0	18
10025	70753	2602	98	0	18
11470	103062	2730	110	0	18
12640	313274	2956	90	0	18
14980	106124	3581	140	1	18
15065	96803	3131	140	1	18
15816	76313	3608	140	1	18
17257	118017	3821	150	1	18
17784	101737	3832	150	1	18
27986	148689	4025	150	1	18
29246	20239	3779	225	1	18
29422	62732	3663	140	1	18
5995	52409	1620	55	0	19
7254	39081	2136	74	0	19
7577	295123	2465	95	0	19
8799	123421	2478	96	0	19
9495	277176	2635	95	0	19
9995	103034	2518	110	0	19
10390	83809	2282	95	0	19
10425	109631	2347	102	0	19
10544	202149	2566	110	0	19
10565	92749	2558	110	0	19
10999	77599	3107	140	0	19
11985	38580	3106	140	0	19
11995	133446	2736	110	0	19
12140	218288	3113	110	0	19
12160	47628	2837	110	0	19
12395	28368	2954	110	0	19
13259	112181	2839	110	1	19
14495	111519	3133	180	1	19
14525	154067	3803	170	1	19
14564	116845	3189	160	1	19
15200	90428	3237	135	1	19
15774	68686	3309	165	1	19
15895	101143	3248	165	1	19
16145	150924	3234	165	1	19
19995	48025	3325	165	1	19
21995	14614	3462	165	1	19
23040	20006	3463	165	1	19
26960	168832	3466	180	1	19
27400	29869	4283	140	1	19
27825	62953	3607	170	1	19
28335	6599	3372	165	1	19
28855	22832	3426	180	1	19
31830	33228	3480	180	1	19
31979	22690	3255	245	1	19
53050	3407	3446	200	1	19
20950	1549	2548	120	0	20
5899	100590	2040	81	0	21
10015	29840	2717	116	0	21
39700	4013	3903	223	1	22
48000	4715	4015	262	1	22
4435	6359	1870	67	0	23
