53	1990	6	18820	32410	2919	114	1	2	2
105	1990	18	9456	124135	2759	88	0	1	1
71	1990	5	13071	1276	2455	97	0	2	2
120	1990	5	11499	44906	2620	130	0	2	3
128	1990	16	6851	39602	2194	81	0	1	2
82	1990	1	36000	41101	3759	250	1	3	4
38	1990	18	7409	288727	2242	90	0	2	2
56	1990	16	14995	12818	3083	150	0	2	2
121	1990	1	14898	14257	2599	130	0	2	3
3	1990	16	8845	65590	2615	93	0	1	1
29	1990	19	16145	150924	3234	165	1	2	3
102	1990	18	15065	96803	3131	140	1	2	2
58	1990	16	25495	13518	3570	150	1	2	2
130	1990	3	11950	83599	2549	130	0	2	3
96	1990	18	29422	62732	3663	140	1	1	2
131	1990	18	17784	101737	3832	150	1	2	2
95	1990	19	8799	123421	2478	96	0	1	2
35	1990	16	10495	91152	2798	100	0	1	1
129	1990	19	31979	22690	3255	245	1	3	4
18	1990	10	5909	4665	2336	76	0	1	1
108	1990	19	12160	47628	2837	110	0	1	2
106	1990	19	10544	202149	2566	110	0	2	2
75	1990	19	31830	33228	3480	180	1	2	3
74	1990	2	38000	13908	3950	278	1	3	4
123	1990	19	9495	277176	2635	95	0	1	1
76	1990	2	27900	22095	3219	222	1	3	4
42	1990	7	33405	1859	3263	162	1	2	3
48	1990	19	10565	92749	2558	110	0	2	2
50	1990	19	27400	29869	4283	140	1	1	1
126	1990	19	13259	112181	2839	110	1	1	2
90	1990	18	10025	70753	2602	98	0	1	2
34	1990	16	20860	38495	3452	147	1	2	2
4	1990	10	10819	49877	2524	92	0	1	1
59	1990	19	10999	77599	3107	140	0	2	2
117	1990	19	28855	22832	3426	180	1	2	3
64	1990	1	22860	6419	3463	200	1	3	3
31	1990	19	53050	3407	3446	200	1	3	3
69	1990	7	14770	18274	3985	134	1	1	1
6	1990	11	16995	4640	2732	128	1	2	2
28	1990	19	15774	68686	3309	165	1	2	3
13	1990	7	15485	7615	2307	94	0	2	2
100	1990	3	24760	53666	3139	160	1	2	3
122	1990	2	17899	100067	3086	160	1	2	3
